Characteristic,Attendance in millions
"Tokyo Disneyland, Japan",17.91
"Tokyo Disneysea, Japan",14.65
"Universal Studios, Japan",14.5
Chimelong Ocean Kingdom,11.74
"Shanghai Disneyland, China",11.21
"Everland, South Korea",6.61
"Lotte World, South Korea",5.95
"Nagashima Spa Land, Japan",5.95
"Ocean Park, Hong Kong",5.7
"Hong Kong Disneyland, Hong Kong",5.7
"OCT Happy Valley Beijing, China",5.16
"Chimelong Paradise, China",4.91
Universal Studios Singapore,4.5
"China Dinosaur Park, Changzhou, China",4.43
"OCT Window of the World, Shenzen, China",3.99
"OCT Happy Valley Shenzhen, China",3.98
"Zhengzhou Fantawild Adventure, China",3.84
"Ningbo Fantawild Oriental Heritage, China",3.58
"OCT Happy Valley Chengdu, China",3.58
"OCT Happy Valley, Shanghai, China",3.39
