Characteristic,Index score
Nuclear Regulatory Commission,77
National Aeronautics and Space Administration,74
Department of State,73
Social Security Administration,72
Federal Trade Commission,71
Office of Personnel Management,71
National Credit Union Administration,71
Court Services and Offender Supervision Agency,70
General Services Administration,70
Department of Justice,70
Department of the Treasury,70
Environmental Protection Agency,69
Department of Commerce,69
Pension Benefit Guaranty Corporation,69
DoD - All of Dod Combined,68
