Characteristic,Gross domestic product in billion U.S. dollars
2026*,2.39
2025*,2.31
2024*,2.22
2023*,2.13
2022*,2.02
2021*,1.79
2020*,1.69
2019,2.12
2018,2.07
2017,2.0
2016,1.87
2015,1.81
2014,1.76
2013,1.67
2012,1.61
2011,1.58
2010,1.49
2009,1.4
2008,1.44
2007,1.34
2006,1.27
2005,1.14
2004,1.07
2003,0.99
2002,0.9
2001,0.89
2000,0.93
1999,0.92
1998,0.88
1997,0.81
1996,0.79
1995,0.76
1994,0.71
1993,0.69
1992,0.67
1991,0.61
1990,0.58
1989,0.49
1988,0.43
1987,0.38
1986,0.34
