Characteristic,Box office gross in billion U.S. dollars
2020,2.09
2019,11.32
2018,11.89
2017,11.07
2016,11.38
2015,11.13
2014,10.36
2013,10.92
2012,10.82
2011,10.17
2010,10.57
2009,10.6
2008,9.63
2007,9.66
2006,9.21
2005,8.84
2004,9.37
2003,9.21
2002,9.17
2001,8.11
2000,7.51
1999,7.38
1998,6.73
1997,6.16
1996,5.65
1995,5.2
1994,5.1
1993,4.86
1992,4.56
1991,4.37
1990,4.36
1989,4.11
1988,3.55
1987,3.4
1986,3.1
1985,3.04
1984,3.1
1983,2.75
1982,3.01
1981,0.92
1980,1.66
