Characteristic,Number of inhabitants
The Evangelical Lutheran Church of Iceland,229669
The Roman Catholic Church,14658
The Independent Congregation of Reykjavík,10020
The Independent Congregation of Hafnarfjörður,7338
Pagan Worship,5118
The Icelandic Ethical Humanist Association,4084
The Independent Congregation,3231
The Pentecostal Church of Iceland,2113
The Icelandic Buddhist Society,1125
Zuism,838
The Russian Orthodox Church,771
The Seventh Day Adventist Church,619
Jehova Witnesses,604
The Icelandic Muslim Association,578
"The Christian Way, a Church for You",473
