Industry,Real value added in billion chained (2012) U.S. dollars
Manufacturing,55.94
"Finance, insurance, real estate, rental, and leasing",58.11
Professional and business services,30.71
Government and government enterprises,29.55
"Educational services, health care, and social assistance",28.61
Retail trade,17.96
Wholesale trade,17.23
Information,13.38
Construction,10.9
"Arts, entertainment, recreation, accommodation, and food services",6.67
Transportation and warehousing,7.49
"Agriculture, forestry, fishing, and hunting",6.82
Other services (except government and government enterprises),5.57
Utilities,4.89
"Mining, quarrying, and oil and gas extraction",1.43
