Characteristic,Revenue in million NOK
Total revenue,1242129
Sales revenue,19802
Operating surplus extraction of petroleum,71700
Depreciation etc. extraction of petroleum,24900
Depreciation etc. other central government enterprises,1666
Other revenue from fixed capital formation,2029
Total transfers,1122032
Tax revenue,698673
Members' contributions National Insurance Scheme,155130
Employers' contributions National Insurance Scheme,203000
Interest and dividends,36874
Transfers from other state accounts,25
Transfers from municipalities and county authorities,1532
Transfers from the central bank,18600
Other transfers,8198
