Brand,Percent change in sales
Organic Root Stimulator,-11.6%
SoftSheen-Carson Dark & Lovely,-11.2%
Africa's Best,-9.3%
Luster's Pink Smooth Touch,-8.4%
African Pride Olive Miracle,15.4%
SoftSheen-Carson Optimum Care,-19.5%
Ultra Sheen Supreme,-15.7%
Soft & Beautiful Just for Me,-21.5%
Luster's S-Curl,-5.4%
Africa's Best Organic,-8.6%
Luster's Pink,4.9%
Motions,-19.2%
Pro-Line Comb-Thru,-5.2%
Dr. Miracle's,-34.6%
Dr. Miracle's Thermaceutical,-20.1%
Smart Perm,10%
SoftSheen-Carson Optimum Amla Legend*,-
Soft and Beautiful Botanicals,-29%
Luster's Pink ShortLooks,13.7%
Pro-Line Soft & Beautiful,-31.4%
