Characteristic,Revenue in billion yen
2021 Q1,88.31
2020 Q4,66.38
2020 Q3,79.41
2020 Q2,64.5
2020 Q1,82.8
2019 Q4,49.24
2019 Q3,52.36
2019 Q2,53.9
2019 Q1,93.08
2018 Q4,46.08
2018 Q3,69.33
2018 Q2,47.79
2018 Q1,90.51
2017 Q4,52.68
2017 Q3,60.4
2017 Q2,47.06
2017 Q1,74.79
2016 Q4,43.25
2016 Q3,44.26
2016 Q2,38.12
2016 Q1,57.5
2015 Q4,45.82
2015 Q3,49.81
2015 Q2,42.66
2015 Q1,51.97
2014 Q4,42.93
2014 Q3,45.61
2014 Q2,36.89
2014 Q1,47.49
2013 Q4,34.47
2013 Q3,39.88
2013 Q2,36.62
2013 Q1,44.36
2012 Q4,30.88
2012 Q3,24.26
2012 Q2,22.88
2012 Q1,30.38
2011 Q4,22.19
2011 Q3,24.16
2011 Q2,20.46
2011 Q1,20.81
