Characteristic,Share of individuals
Denmark,24%
Norway,26%
Finland,29%
Sweden,27%
United Kingdom,24%
Netherlands,25%
Malta,21%
Estonia,20%
Spain,19%
Luxembourg,19%
European Union (15 countries),18%
Germany**,18%
Belgium,15%
Greece,15%
Euro area*,15%
European Union (27 countries),17%
Hungary,14%
France,16%
European Union (28 countries),17%
Croatia,13%
Latvia,16%
Ireland,12%
Portugal,14%
Austria,12%
Slovenia,13%
Cyprus,13%
Lithuania,13%
Italy,13%
Bulgaria,7%
Slovakia,16%
Poland,12%
Romania,8%
Czechia,5%
