Characteristic,Attendance in millions
"Jan 1, 2020 - Dec 31, 2020",75.19
"Jan 1, 2019 - Dec 31, 2019",356.0
"Jan 1, 2018 - Dec 31, 2018",359.0
"Jan 1, 2017 - Dec 31, 2017",346.76
"Jan 1, 2016 - Dec 31, 2016",215.15
"Jan 1, 2015 - Dec 31, 2015",196.9
"Jan 1, 2014 - Dec 31, 2014",187.24
"Jan 1, 2013 - Dec 31, 2013",199.27
"Aug 31, 2012 - Dec 31, 2012",60.34
"Mar 30, 2012 - Aug 30, 2012",90.62
"FY 2011 (Apr 1, 2011 - Mar 29, 2012)",194.21
"FY 2010 (Apr 2, 2010 - Mar 31, 2011)",194.41
"FY 2009 (Apr 3, 2009 - Apr 1, 2010)",200.29
"FY 2008 (Apr 4, 2008 - Apr 2, 2009)",196.18
"FY 2007 (Mar 30, 2007 - Apr 3, 2008)",207.6
"FY 2006 (Mar 31, 2006 - Mar 29, 2007)",213.04
