Characteristic,Employment rate
Iceland,83.8%
Switzerland,80.5%
Netherlands,78.2%
Japan,77.6%
New Zealand,77.4%
Sweden,77.1%
Germany,76.7%
United Kingdom,75.6%
Norway,75.3%
Denmark,75.2%
Estonia,75.2%
Czech Republic,75.1%
Canada,74.4%
Australia,74.3%
Austria,73.6%
Finland,73.1%
Lithuania,73%
Latvia,72.3%
Slovenia,71.8%
United States,71.4%
Portugal,70.5%
Hungary,70.1%
Ireland,69.8%
Israel,68.9%
OECD average,68.8%
Slovak Republic,68.4%
Poland,68.2%
Luxembourg,67.9%
Korea,66.8%
France,65.5%
Belgium,65.3%
Spain,64.3%
Chile,62.4%
Mexico,62.2%
Italy,59%
Greece,56.5%
Turkey,50.3%
