Characteristic,Tuition and fees in thousand U.S. dollars
"Harvard - Boston, MA",139
"Pennsylvania (Wharton) - Philadelphia, PA",137
"Columbia - New York, NY",136
"Dartmouth (Tuck) - Hanover, NH",135
"NYU (Stern) - New York, NY",131
"MIT (Sloan) - Cambridge, MA",130
"Chicago (Booth) - Chicago, IL",128
"Northwestern (Kellogg) - Evanston, IL",128
"Duke (Fuqua) - Durham, NC",128
"Stanford - Palo Alto, CA",127
"Yale - New Haven, CT",124
"Cornell (Johnson) - Ithaca, NY",123
"Michigan (Ross) - Ann Arbor, MI",122
"Virginia (Darden) - Charlottesville, VA",118
"Carnegie Mellon (Tepper) - Pittsburgh, PA",118
"UCLA (Anderson) - Los Angeles, CA",114
"UNC (Kenan-Flagler) - Chapel Hill, NC",113
"UC Berkeley (Haas) - Berkeley, CA",110
"Texas-Austin (McCombs) - Austin, TX",96
"Indiana (Kelley) - Bloomington, IN",93
