Characteristic,Market share
Dec 20,8.65%
Nov 20,9.29%
Oct 20,9.19%
Sep 20,8.61%
Aug 20,12.43%
Jul 20,10.76%
Jun 20,9.37%
May 20,10.43%
Apr 20,7.08%
Mar 20,7.46%
Feb 20,10.63%
Jan 20,10.97%
Dec 19,10.09%
Nov 19,10.37%
Oct 19,11.69%
Sep 19,9.47%
Aug 19,11.63%
Jul 19,10.85%
Jun 19,9.87%
May 19,10.83%
Apr 19,11.22%
Mar 19,8.9%
Feb 19,12.68%
Jan 19,10.33%
Dec 18,11.45%
Nov 18,9.24%
Oct 18,10.95%
Sep 18,9.84%
Aug 18,11.91%
Jul 18,9.78%
Jun 18,9.51%
May 18,10.97%
Apr 18,11.98%
Mar 18,10.6%
Feb 18,14.91%
Jan 18,12.01%
Dec 17,10.19%
Nov 17,11.06%
Oct 17,12.38%
Sep 17,9.31%
Aug 17,12.08%
Jul 17,10.45%
Jun 17,11.13%
May 17,11.01%
Apr 17,10.64%
Mar 17,12.77%
Feb 17,11.92%
Jan 17,13.05%
Dec 16,11.65%
