Characteristic,GDP per capita in U.S. dollars
2026,2173.83
2025,2116.6
2024,2058.85
2023,2003.45
2022,1938.64
2021,1943.44
2020,1252.87
2019,1272.62
2018,1435.25
2017,1294.28
2016,1266.77
2015,1388.96
2014,1401.9
2013,1394.11
2012,1337.34
2011,1287.94
2010,1171.39
2009,1150.29
2008,1076.97
2007,981.08
2006,791.67
2005,766.92
2004,663.84
2003,566.35
2002,698.23
2001,733.91
2000,811.11
1999,866.15
1998,790.27
1997,721.54
1996,639.09
1995,630.76
1994,405.17
1993,149.97
1992,127.03
1991,215.76
1990,245.04
1989,196.47
1988,216.87
1987,333.73
1986,689.61
