Characteristic,QS score
Universidad de Buenos Aires (Argentina),67.5
Universidad Nacional Autónoma de México (Mexico),58.8
Universidade de São Paulo (Brazil),54.8
Pontificia Universidad Católica de Chile (Chile),53.8
Tecnológico de Monterrey (Mexico),49.9
Universidad de Chile (Chile),45.6
Universidad de los Andes (Colombia),39.6
Universidade Estadual de Campinas (Brazil),39.2
Universidad Nacional de Colombia (Colombia),36.9
Pontificia Universidad Católica Argentina (Argentina),31.9
Universidad de Palermo (Argentina),29.0
Universidade Federal do Rio de Janeiro (Brazil),28.8
Universidad Austral (Argentina),28.2
Universidade Federal de São Paulo (Brazil),27.1
Pontificia Universidad Javeriana (Colombia),26.8
