Characteristic,Men,Women
Sending/receiving emails,86%,85%
Finding information about goods and services,83%,80%
Internet banking,76%,76%
Using instant messaging services (eg Skype or WhatsApp),69%,74%
Social networking (eg Facebook or Twitter),69%,72%
"Reading online news, newspapers or magazines",74%,67%
Listening to/downloading music,67%,58%
"Looking for health-related information (eg injury, disease, nutrition, improving health etc)",53%,67%
Making video or voice calls over the internet (eg via Skype or Facetime),46%,51%
Selling goods or services over the internet,23%,18%
Playing or downlaoding games,43%,39%
Watching video content from services such as YouTube,72%,61%
