"Hospital (City, State)",Net patient revenue in million U.S. dollars
"Cleveland Clinic Hospital (Cleveland, OH)",4190
"NY Presbyterian Hosp/Weill Cornell Med Ctr (NY, NY)",3920
"St. Luke's Hospital (San Francisco, CA)",3410
"Univ of TX-M.D. Anderson Cancer Center (Houston, TX)",2660
"Florida Hospital Orlando (Orlando, FL)",2600
"Cedars-Sinai Medical Center (West Hollywood, CA)",2480
"Stanford Hospital & Clinics (Stanford, CA)",2460
"University of Michigan Hospital (Ann Arbor, MI)",2370
"L.A. County Harbor - UCLA Medical Center (L.A., California)",2340
"UCSF Medical Canter at Parnassus (San Francisco, CA)",2310
