Characteristic,Turnover in million SEK
OKG AB,3265
Bergs Timber AB (publ),3206
Kährs Holding AB (publ),3117
Jacobi Carbons AB,2685
Mekka Traffic AB,2261
Electragruppen AB,1822
"Åbro Bryggeri, AB",1693
Liljas Bil AB,1559
Liljas Personbilar AB,1559
Swedish DLA Agro AB,1435
"Engström Bil AB, Josef",1403
Saft AB,1373
"Ljunghäll AB, Metallfabriken",1336
IKEA Industry Hultsfred AB,1298
Be-Ge Företagen AB,1194
Elajo Invest AB (publ),1053
Norden Machinery AB,1051
Västerviks Kommuns Förvaltnings AB,917
Royal Design Group Holding AB,860
Kalmar Kommunbolag AB,798
