Characteristic,1.000-2.500 kWh,2.500-5.000 kWh
2020 S2,20.75,16.94
2020 S1,16.66,14.48
2019 S2,20.43,16.66
2019 S1,20.21,16.34
2018 S2,20.3,16.38
2018 S1,19.98,16.13
2017 S2,19.81,16.13
2017 S1,19.49,16.09
2016 S2,19.93,16.29
2016 S1,19.84,16.18
2015 S2,19.57,16.31
2015 S1,19.0,15.89
2014 S2,19.32,16.32
2014 S1,19.5,16.3
2013 S2,19.76,16.57
2013 S1,18.85,16.1
2012 S2,17.7,15.42
2012 S1,17.49,15.42
2011 S2,17.02,14.92
2011 S1,16.73,14.41
2010 S2,17.0,14.26
2010 S1,16.72,14.01
