Characteristic,Refugees,IDPs
2019,20444819,43503362
2018,20359556,41425168
2017,19940568,39118516
2016,17184291,36627127
2015,16110280,37494172
2014,14384302,32274619
2013,11698238,23925555
2012,10497028,17670368
2011,10403951,15473378
2010,10548848,14697804
2009,10395724,15628057
2008,10488934,14442227
2007,11390108,13740317
2006,9876924,12794268
2005,8661293,6616791
2004,9572719,5426539
2003,9592247,4181701
2002,10593526,4646641
2001,12116301,5096502
2000,12129079,5998501
