Characteristic,2014,2015,2016,2017,2018,2019
Dec,69.51,78.24,86.36,97.44,90.8,-
Nov,67.54,77.28,78.29,95.32,91.72,-
Oct,62.17,73.28,73.62,94.25,87.29,-
Sep,76.1,81.34,85.05,106.43,104.12,-
Aug,77.42,89.41,80.39,109.62,115.43,-
Jul,67.36,68.84,71.9,107.24,106.44,-
Jun,59.55,63.5,68.39,95.21,98.23,-
May,71.43,77.28,76.12,105.07,102.08,-
Apr,54.69,60.94,64.4,93.81,88.3,100.46
Mar,56.81,59.68,52.96,89.99,86.62,96.31
Feb,51.94,53.96,61.25,79.41,74.57,75.73
Jan,55.52,55.05,67.57,94.92,94.96,98.31
