Characteristic,Share of respondents
Avoid cultural and sports events,86%
"Avoid meetings, courses or conferences",84%
Limit or avoid private transport,83%
Limit or avoid public transport,82%
Limit or avoid commuting to work,76%
Postpone or cancel travel plans,73%
Avoid social interaction with family and friends,68%
Stay at home even if not sick,51%
Been asked to stay home even if not sick,44%
"Postponed major purchases (f.ex. car, white electronics, refurbishment)",39%
Shop for more food and consumer goods than normally,26%
