Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",34.49
Professional and business services,20.01
Manufacturing,19.93
Government and government enterprises,19.83
Retail trade,12.63
"Educational services, health care, and social assistance",12.12
Information,11.03
Construction,9.81
Wholesale trade,8.35
Transportation and warehousing,5.17
"Arts, entertainment, recreation, accommodation, and food services",4.3
"Mining, quarrying, and oil and gas extraction",3.4
Utilities,2.22
"Agriculture, forestry, fishing, and hunting",1.28
