Characteristic,Net income in million U.S. dollars
Q1 '21,219.0
Q4 '20,677.0
Q3 '20,272.0
Q2 '20,243.0
Q1 '20,293.0
Q4 '19,243.0
Q3 '19,246.0
Q2 '19,263.0
Q1 '19,162.0
Q4 '18,251.05
Q3 '18,343.05
Q2 '18,292.35
Q1 '18,289.44
Q4 '17,-37.0
Q3 '17,275.72
Q2 '17,202.11
Q1 '17,207.07
Q4 '16,204.63
Q3 '16,193.9
Q2 '16,174.97
Q1 '16,172.44
Q4 '15,134.63
Q3 '15,166.55
Q2 '15,102.85
Q1 '15,105.69
Q4 '14,143.12
Q3 '14,136.17
Q2 '14,119.96
Q1 '14,93.99
Q4 '13,65.2
Q3 '13,62.88
Q2 '13,125.52
Q1 '13,123.6
Q4 '12,156.24
Q3 '12,74.51
Q2 '12,3134.17
Q1 '12,107.77
Q4 '11,71.34
Q3 '11,104.19
Q2 '11,173.32
Q1 '11,78.12
