Characteristic,Total,Known mental health condition,No known mental health condition
Any relationship problem/loss,42.4%,39.6%,45.1%
Intimate partner problem,27.2%,24.1%,30.2%
Perpetrator of interpersonal violence in past month,2.2%,1.4%,3%
Victim of interpersonal violence in past month,0.4%,0.6%,0.3%
Family relationhip problem,8.9%,9.3%,8.5%
Other relationship problem (nonintimate),2.1%,2.1%,2.1%
Argument or conflict (not specified),15.5%,13.6%,17.5%
Death of a loved one (any),8%,8.8%,7.2%
Nonsuicide death,6.3%,6.9%,5.7%
Suicide of family or friend,2%,2.3%,1.7%
