Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",11.49
"Educational services, health care, and social assistance",7.53
Government and government enterprises,7.49
Professional and business services,6.69
Manufacturing,5.62
Retail trade,4.98
Wholesale trade,3.11
"Arts, entertainment, recreation, accommodation, and food services",2.23
Construction,1.9
Information,1.33
Transportation and warehousing,1.04
"Agriculture, forestry, fishing, and hunting",0.98
Utilities,1.06
"Mining, quarrying, and oil and gas extraction",0.03
