Characteristic,Revenue in million U.S. dollars
Avengers: Endgame,2797.8
Avatar,2790.44
Titanic,2195.17
Star Wars: Episode VII - The Force Awakens,2068.45
Avengers: Infinity War,2048.36
Jurassic World,1670.4
The Lion King,1657.14
The Avengers,1518.82
Furious 7,1515.25
Frozen II,1450.03
Avengers: Age of Ultron,1402.81
Black Panther,1347.46
Harry Potter and the Deathly Hallows: Part 2,1342.22
Star Wars: Episode VIII - The Last Jedi,1332.7
Jurassic World: Fallen Kingdom,1310.46
Frozen,1280.8
Beauty and the Beast,1264.06
Incredibles 2,1242.81
The Fate of the Furious,1236.01
Iron Man 3,1214.81
