Characteristic,Number of terrorist attacks
2019,64
2018,60
2017,122
2016,105
2015,114
2014,103
2013,137
2012,55
2011,47
2010,57
2009,23
2008,39
2007,20
2006,6
2005,29
2004,5
2003,23
2002,21
2001,94
2000,61
1999,76
1998,63
1997,78
1996,36
1995,22
1994,256
1992,274
1991,262
1990,147
1989,163
1988,181
1987,117
1986,95
1985,67
1984,145
1983,177
1982,95
1981,142
1980,134
1979,239
1978,100
1977,140
1976,194
1975,194
1974,203
1973,189
1972,292
1971,81
1970,12
