Characteristic,Gross domestic product in billion U.S. dollars
2026*,21.81
2025*,21.03
2024*,20.29
2023*,19.59
2022*,19.08
2021*,18.96
2020*,18.53
2019,23.31
2018,26.31
2017,25.87
2016,20.97
2015,21.24
2014,27.15
2013,28.05
2012,25.5
2011,23.46
2010,20.27
2009,15.33
2008,17.91
2007,14.06
2006,12.76
2005,8.33
2004,6.22
2003,4.9
2002,4.19
2001,4.09
2000,3.6
1999,3.41
1998,3.54
1997,4.3
1996,3.6
1995,3.8
1994,3.66
1993,3.55
1992,3.61
1991,3.69
1990,4.09
1989,4.37
1988,4.1
1987,2.43
1986,1.96
