Characteristic,Number of accounts in millions
Q1 '21,1241.6
Q4 '20,1225.0
Q3 '20,1213.0
Q2 '20,1206.0
Q1 '20,1203.0
Q4 '19,1164.8
Q3 '19,1151.0
Q2 '19,1132.7
Q1 '19,1111.7
Q4 '18,1097.6
Q3 '18,1082.5
Q2 '18,1057.7
Q1 '18,1040.0
Q4 '17,989.0
Q3 '17,980.0
Q2 '17,963.0
Q1 '17,938.0
Q4 '16,889.0
Q3 '16,846.0
Q2 '16,806.0
Q1 '16,762.0
Q4 '15,697.0
Q3 '15,650.0
Q2 '15,600.0
Q1 '15,549.0
Q4 '14,500.0
Q3 '14,468.0
Q2 '14,438.0
Q1 '14,396.0
Q4 '13*,355.0
Q3 '13,336.0
Q2 '13,235.8
Q1 '13,194.4
Q4 '12,160.8
Q3 '12,209.6
Q2 '12,151.0
Q1 '12,100.0
Q4 '11,50.0
Q3 '11,14.0
Q2 '11,2.8
