Characteristic,Sports betting handle in million U.S. dollars
Mar '21,640.98
Feb '21,554.06
Jan '21,646.49
Dec '20,588.49
Nov '20,609.38
Oct '20,659.9
Sept '20,575.14
Aug '20,474.95
Jul '20,165.55
Jun '20,78.15
Apr & May '20,56.26
Mar '20,141.11
Feb '20,489.11
Jan '20,502.54
Dec '19,571.18
Nov '19,614.12
Oct '19,543.55
Sep '19,546.36
Aug '19,287.76
Jul '19,235.66
Jun '19,322.08
May '19,317.38
Apr '19,328.12
Mar '19,596.75
Feb '19,458.59
Jan '19,497.48
Dec '18,561.86
Nov '18,581.07
Oct '18,528.57
Sep '18,571.03
Aug '18,247.62
Jul '18,244.64
Jun '18,286.55
