Characteristic,2018,2019*
Romania,96,96
Bulgaria,87,89
Poland,76,77
Croatia,77,73
Latvia,78,69
Lithuania,62,66
Greece,65,65
Hungary,65,62
Portugal,66,61
Cyprus,57,59
Czechia,62,58
Belgium,53,56
Italy,55,55
Slovakia,48,51
Slovenia,44,49
France,49,48
Austria,46,46
Estonia,51,39
Germany,40,37
Finland,43,37
Luxembourg,60,36
Spain,39,36
Denmark,30,35
Netherlands,35,34
Malta,38,32
Ireland,29,29
United Kingdom,28,28
Switzerland,27,22
Sweden,32,22
Norway,20,20
Iceland,52,17
