Characteristic,Attendance change
"OCT Happy Valley, Beijing, China",29.6%
"Everland, South Korea",12.9%
"Chimelong Ocean Kingdom, China",8.4%
"Islands of Adventure, USA",6%
"Chimelong Paradise, China",4.8%
"Universal Studios Orlando, USA",2%
"Disney's Hollywood Studios, USA",2%
"Universal Studios, Japan",1.4%
"Disney's Animal Kingdom, USA",1%
"Magic Kingdom (Walt Disney World), USA",0.5%
"Nagashima Spa Land, Japan",0.5%
"Europa Park, Germany",0.5%
"Disney's California Adventure, USA",0%
"Epcot (Walt Disney World), USA",0%
"Tokyo Disneyland, Japan",0%
"Disneyland Anaheim, USA",0%
"Tokyo Disney Sea, Japan",0%
"Universal Studios Hollywood, USA",0%
"Lotte World, South Korea",-0.1%
"Walt Disney Studios, France",-1%
"Disneyland Park, France",-1%
"Ocean Park, Hong Kong S.A.R.",-1.7%
"De Efteling, the Netherlands",-1.7%
"Shanghai Disneyland, China",-5%
"Hong Kong Disneyland, Hong Kong S.A.R.",-15%
