Characteristic,Share of respondents
"Apr 11, 2021",76%
"Mar 28, 2021",77%
"Mar 14, 2021",76%
"Feb 28, 2021",78%
"Feb 14, 2021",78%
"Jan 31, 2021",77%
"Jan 17, 2021",78%
"Jan 3, 2021",78%
"Dec 20, 2020",81%
"Dec 6, 2020",80%
"Nov 22, 2020",80%
"Nov 8, 2020",79%
"Oct 25, 2020",83%
"Oct 11, 2020",80%
"Sep 27, 2020",84%
"Sep 18, 2020",83%
"Sep 13, 2020",84%
"Aug 30, 2020",84%
"Aug 20, 2020",80%
"Aug 16, 2020",83%
"Aug 7, 2020",82%
"Aug 2, 2020",82%
"Jul 22, 2020",80%
"Jul 19, 2020",83%
"Jul 9, 2020",80%
"Jul 5, 2020",84%
"Jun 24, 2020",84%
"Jun 21, 2020",83%
"Jun 9, 2020",81%
"Jun 7, 2020",83%
"May 29, 2020",83%
"May 21, 2020",87%
"May 13, 2020",81%
"May 3, 2020",83%
"Apr 26, 2020",77%
"Apr 19, 2020",77%
"Apr 12, 2020",78%
"Apr 5, 2020",75%
"Mar 29, 2020",85%
"Mar 22, 2020",78%
"Mar 15, 2020",73%
"Mar 8, 2020",72%
"Mar 1, 2020",82%
"Feb 23, 2020",80%
