Therapeutic Area,Phase 1,Phase 2,Phase 3,Phase 4
Anti-Infective,4.2,14.2,22.8,11.0
Cardiovascular,2.2,7.0,25.2,27.8
Central Nervous System,3.9,13.9,19.2,14.1
Dermatology,1.8,8.9,11.5,25.2
Endocrine,1.4,12.1,17.0,26.7
Gastrointestinal,2.4,15.8,14.5,21.8
Genitourinary System,3.1,14.6,17.5,6.8
Hematology,1.7,19.6,15.0,27.0
Immunomodulation,6.6,16.0,11.9,19.8
Oncology,4.5,11.2,22.1,38.9
Opthalmology,5.3,13.8,30.7,17.6
Pain and Anesthesia,1.4,17.0,52.9,32.1
Respiratory System,5.2,12.2,23.1,72.9
