Characteristic,Number of students
National Open University of Nigeria,470761
University of Lagos,59257
University of Ilorin,52497
"Ahmadu Bello University, Zaria",48953
University of Maiduguri,48160
"University of Nigeria, Nsukka",47171
University of Benin,46110
Michael Okpara University of Agricultural,45350
"Bayero University, Kano",43780
"Nnamdi Azikiwe University, Awka",40342
University of Port-Harcourt,40335
Nasarawa State University Keffi,34310
"University of Abuja, Gwagwalada",33552
"Ambrose Alli University, Ekpoma",33484
University of Calabar,33343
"Olabisi Onabanjo University, Ago Iwoye",31712
"Obafemi Awolowo University, Ile-Ife",29334
"Benue State University, Makurdi",26060
"Ladoke Akintola University of Technology, Ogbomoso",25118
"Lagos State University, Ojo",25100
"Ebonyi State University, Abakaliki",25000
University of Ibadan,24479
University of Uyo,23873
"Abia State University, Uturu",23295
"Imo State University, Owerri",23282
"Modibbo Adama University of Technology, Yola",22838
Ekiti State University,22612
"Federal University of Technology, Owerri",22475
Usmanu Danfodiyo University,21964
Delta State University Abraka,21291
"Adekunle Ajasin University, Akungba",20644
"Federal University of Technology, Minna",20620
Tai Solarin University of Education Ijebu Ode,20295
"Enugu State University of Science and Technology, Enugu",20059
