Characteristic,Number of tests per million
Maharashtra,150520.1
Rajasthan,147156.7
Jammu and Kashmir,143180.1
Madhya Pradesh,117890.1
Nagaland,99266.2
Himachal Pradesh,93035.6
Jharkhand,81960.8
National average,81582.4
Punjab,64810.1
Telangana,64431.3
Puducherry,61211.4
West Bengal,60220.7
Meghalaya,54964.5
Manipur,52460.4
Kerala,48469.7
Uttar Pradesh,46219.2
Tamil Nadu,45494.2
Karnataka,43753.8
Odisha,41885.5
Tripura,39252.6
Mizoram,35204.2
Uttarakhand,34322.4
Ladakh,29985.7
Sikkim,21153.3
Delhi,11968.0
Gujarat,10481.0
Goa,10075.0
Andhra Pradesh,6776.0
Arunachal Pradesh,4979.0
Chandigarh,3853.0
Haryana,2966.0
Assam,2694.0
Chhattisgarh,2228.0
Bihar,605.0
