Characteristic,GDP per capita in U.S. dollars
2026*,661.56
2025*,634.93
2024*,608.97
2023*,581.96
2022*,551.08
2021*,521.49
2020*,501.76
2019*,539.95
2018*,533.2
2017*,515.94
2016*,476.23
2015*,467.24
2014*,530.86
2013*,541.07
2012*,518.16
2011 *,531.27
2010,471.96
2009,467.54
2008,536.35
2007,438.66
2006,338.75
2005,319.54
2004,284.49
2003,368.8
2002,319.22
2001,334.44
2000,293.61
1999,279.92
1998,297.25
1997,297.12
1996,354.74
1995,284.82
1994,269.56
1993,320.56
1992,302.0
1991,272.53
1990,338.95
1989,283.4
1988,293.21
1987,304.15
1986,423.6
