Characteristic,Number of companies
Digital health,491
Assistive technology,347
In vitro diagnostic technology,253
Single use technology,221
Re-usable diagnostic or analytic equipment,194
Hospital hardware,179
Orthopaedic devices,152
Mobility access,140
Dental and maxillofacial technology,127
Surgical instruments (re-usable),124
Infection control,113
Wound care and management,110
Medical imaging/ultrasound equipment and materials,108
Ophthalmic devices/equipment,84
Anaesthetic and respiratory technology,82
Cardiovascular and vascular devices,66
Drug delivery,49
Neurology,31
Radiotherapy equipment,23
Implantable devices,21
