Characteristic,Net profit in thousand DKK
E-boks A/S,50652459
Carlsberg Global Business Services A/S,127985
Zitcom A/S,117907
Visma BLUEGARDEN A/S,115684
Jobindex A/S,87355
Just Eat.dk ApS,77304
Forsikringens Datacenter A/S,60722
IT Relation A/S,57938
Secunia ApS,48277
Byggefakta A/S,35423
Compugroup Medical Denmark A/S,35366
Silkeborg Data A/S,32640
Generaxion A/S,28264
HLTV.org ApS,25745
Proløn A/S,25200
EG Kommuneinformation A/S,24046
Nordiske Medier A/S,23256
Six Financial Information Denmark A/S,22295
Bisnode Danmark A/S,20713
Sentia Denmark A/S,20659
