Characteristic,Number of runs scored
BC Lara  (West Indies vs England - 2004)*,400
ML Hayden  (Australia vs Zimbabwe - 2003),380
BC Lara (West Indies vs England - 1994),375
DPMD Jayawardene  (Sri Lanka vs South Africa - 2006),374
GS Sobers  (West Indies vs Pakistan - 1958)*,365
L Hutton  (England vs Australia - 1938),364
ST Jayasuriya  (Sri Lanka vs India - 1997),340
Hanif Mohammad  (Pakistan vs West Indies - 1958),337
WR Hammond (England vs New Zealand - 1933)*,336
DA Warner (Australia vs Pakistan - 2019)*,335
