Hotel (city),Score
Hotel Vitale (San Francisco),98
Trump International Hotel & Tower (Chicago),97
XV Beacon (Boston),97
Mandarin Oriental (Washington),97
Crosby Street Hotel (New York),97
The Greenwich Hotel (New York),96
The Peninsula (Chicago),95
Sofitel Chicago Water Tower (Chicago),95
Palomar (Washington),95
Sofitel (Washington),94
The Liberty Hotel (Boston),93
The Oxford Hotel (Denver),93
The Brown Palace Hotel and Spa (Denver),92
Mandarin Oriental (New York),92
Hotel 1000 (Seattle),91
