Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",31.27
"Arts, entertainment, recreation, accommodation, and food services",18.63
Professional and business services,17.53
Government and government enterprises,14.96
Retail trade,11.46
"Educational services, health care, and social assistance",10.52
Manufacturing,8.03
Construction,7.39
Transportation and warehousing,6.16
Wholesale trade,6.49
Information,5.33
"Mining, quarrying, and oil and gas extraction",4.67
Utilities,7.39
"Agriculture, forestry, fishing, and hunting",0.44
