Characteristic,Market value in million euros
Wahbi Khazri,10.0
Ellyes Skhiri,10.0
Naïm Sliti,7.0
Saîf-Eddine Khaoui,5.0
Dylan Bronn,3.5
Oussama Haddadi,3.0
Bassem Srarfi,3.0
Mohamed Amine Ben Amor,1.9
Ferjani Sassi,1.6
Ali Maâloul,1.5
Anice Badri,1.2
Hamdi Nagguez,1.2
Yassine Meriah,1.2
Yohan Benalouane,1.0
Saber Khalifa,1.0
Mouez Hassen,1.0
Fakhreddine Ben Youssef,1.0
Ghaylène Chaalali,0.9
Syam Ben Youssef,0.8
Rami Bedoui,0.8
Ahmed Khalil,0.8
Farouk Ben Mustapha,0.78
Balbouli,0.7
