Characteristic,Market share
Dec 20,5.64%
Nov 20,6.87%
Oct 20,7.72%
Sep 20,7.17%
Aug 20,6%
Jul 20,5.86%
Jun 20,6.58%
May 20,9.89%
Apr 20,5.92%
Mar 20,6.67%
Feb 20,7.22%
Jan 20,7.46%
Dec 19,6.46%
Nov 19,6.64%
Oct 19,7.9%
Sep 19,8.86%
Aug 19,5.44%
Jul 19,7.67%
Jun 19,6.69%
May 19,7.85%
Apr 19,7.29%
Mar 19,7.32%
Feb 19,7.43%
Jan 19,7.61%
Dec 18,7.89%
Nov 18,7.18%
Oct 18,7.63%
Sep 18,8.9%
Aug 18,5.17%
Jul 18,6.95%
Jun 18,6.35%
May 18,6.95%
Apr 18,7.06%
Mar 18,7%
Feb 18,7.53%
Jan 18,7.27%
Dec 17,6.84%
Nov 17,7.38%
Oct 17,7.67%
Sep 17,7.37%
Aug 17,6.2%
Jul 17,7.17%
Jun 17,6.46%
May 17,7.87%
Apr 17,8.78%
Mar 17,6.35%
Feb 17,7.34%
Jan 17,7.47%
