Characteristic,Domestic,International
Jan 2019,421395,214677
Feb 2019,463265,221351
Mar 2019,568560,261898
Apr 2019,652883,384817
May 2019,803351,481433
Jun 2019,853565,655841
Aug 2019,1188485,1071999
Sep 2019,938571,844881
Oct 2019,774356,424102
Nov 2019,723421,395767
Jan 2020,447669,226818
Feb 2020,491788,233057
Mar 2020,224463,81722
Apr 2020,79962,7159
May 2020,270326,13949
Jun 2020,513894,78847
Jul 2020,1546733,343987
Aug 2020,945811,341896
Sep 2020,666052,161274
Oct 2020,640050,86078
Nov 2020,362409,30649
