Characteristic,Gross domestic product in billion U.S. dollars
2026*,1.21
2025*,1.15
2024*,1.09
2023*,1.03
2022*,0.97
2021*,0.91
2020*,0.86
2019*,0.92
2018,0.93
2017,0.88
2016,0.78
2015,0.77
2014,0.82
2013,0.8
2012,0.77
2011,0.76
2010,0.68
2009,0.61
2008,0.6
2007,0.53
2006,0.44
2005,0.39
2004,0.37
2003,0.32
2002,0.26
2001,0.26
2000,0.27
1999,0.27
1998,0.26
1997,0.27
1996,0.26
1995,0.25
1994,0.23
1993,0.2
1992,0.21
1991,0.2
1990,0.17
1989,0.15
1988,0.16
1987,0.14
1986,0.13
