Characteristic,Difference between actual and average estimate
Philippines,0%
India,-1%
Russia,-2%
South Africa,-2%
Saudi Arabia,-2%
Romania,-3%
Mexico,-4%
Malaysia,-7%
Brazil,-7%
Japan,-7%
United States,-8%
Sweden,-8%
Germany,-9%
Italy,-9%
Peru,-10%
Colombia,-10%
Hungary,-10%
China,-10%
United Kingdom,-11%
Turkey,-11%
Poland,-11%
Belgium,-12%
Spain,-12%
Singapore,-12%
Argentina,-12%
Chile,-12%
Australia,-12%
Canada,-12%
Netherlands,-13%
South Korea,-14%
France,-15%
Hong Kong,-15%
