Characteristic,Penetration rate among iOS users
Facebook,68.44%
Messenger,49.93%
"YouTube - Watch, Upload and Share Videos",47.21%
"Kindle Read eBooks, Magazines & Textbooks",46.26%
BlockArt Free,43.67%
Instagram,42.31%
WhatsApp Messenger,34.56%
musical.ly - your video social network,33.74%
Snapchat,31.16%
Twitter,29.8%
eBay for iPad,24.35%
"eBay: Buy, Sell, Save! Electronics, Fashion & More",23.67%
Spotify Music,21.63%
Google Maps - Navigation & Transit,20.41%
Skype for iPhone,20.14%
Pinterest,18.23%
"Shazam - Discover music, artists, videos & lyrics",17.14%
Netflix,16.46%
Google Search made just for mobile,15.24%
Viber Messenger,13.61%
