Characteristic,Fertility rate
2020,1.78
2015,1.88
2010,2.06
2005,2.04
2000,2.0
1995,2.03
1990,1.91
1985,1.8
1980,1.77
1975,2.03
1970,2.54
1965,3.23
1960,3.58
1955,3.31
1950,3.01
1945,2.42
1940,2.06
1935,2.17
1930,2.69
1925,3.13
1920,3.29
1915,3.53
1910,3.64
1905,3.81
1900,3.94
1895,4.17
1890,4.39
1885,4.61
1880,4.8
1875,4.94
1870,5.07
1865,5.2
1860,5.37
1855,5.6
1850,5.82
1845,6.05
1840,6.22
1835,6.32
1830,6.42
1825,6.52
1820,6.63
1815,6.74
1810,6.85
1805,6.96
1800,7.03
