Characteristic,Share of e-commerce sales
Computer software (includes video game software),96%
Furniture and home furnishings,94.4%
"Toys, hobby goods, and games",93.8%
Electronics and appliances,93%
Audio and video recordings (includes purchased downloads),93%
Books (includes audio books and e-books),90.8%
Clothing and clothing accessories (includes footwear),90.5%
"Computer and peripheral equipment, communications equipment, and related products (includes cellular phones)",90%
"Food, beer, and wine",87.9%
Sporting goods,87.5%
Office equipment and supplies,86.5%
Other merchandise*,82.3%
Nonmerchandise receipts**,81.9%
Jewelry,79.1%
Total Electronic Shopping and Mail-Order Houses (NAICS 4541),73.8%
"Drugs, health aids, and beauty aids",25.7%
