Characteristic,Payroll in thousand U.S. dollars
"Valeri ""Vako"" Qazaishvili",1604.04
Chris Wondolowski,800.0
Andres  Rios,729.25
Carlos  Fierro,718.8
Florian Jungwirth,616.68
Guram Kashia,590.0
Cristian Espinoza,550.0
Danny Hoesen,549.67
Anibal Godoy,498.13
Magnus Eriksson,450.0
Marcos Lopez Lanfranco,387.75
Harold Cummings,320.67
Judson,305.0
Francois Affolter,282.0
Shea Salinas,250.0
Andrew Tarbell,235.0
Nick Lima,218.44
Daniel Vega,210.0
Jackson Yueill,190.0
Tommy Thompson,175.0
JT Marcinkowski,147.0
Eric Calvillo,136.5
Siad Haji,104.0
Gilbert Fuentes,92.0
Matt Bersano,71.67
Luis Felipe,71.63
Jimmy Ockford,70.88
Cade Cowell,67.23
Jacob Akanyirige,64.23
Paul Marie,57.23
Kevin Partida,57.23
