Industry,Real value added in billion chained 2012 Canadian dollars
Government sector,322.3
Manufacturing,201.12
Non-profit institutions,187.9
Mining and oil and gas extraction,147.76
Construction,141.13
"Finance and insurance, and holding companies",137.53
"Professional, scientific and technical services",117.61
Wholesale trade,102.15
Retail trade,102.02
Transportation and warehousing,87.39
"Real estate, rental and leasing",87.36
Information and cultural industries,61.48
Health care and social assistance,52.9
"Administrative and support, waste management and remediation services",51.8
Accommodation and food services,44.16
Utilities,40.72
"Agriculture, forestry, fishing and hunting",40.28
Other private services,28.09
"Arts, entertainment and recreation",12.5
Educational services,3.78
