Characteristic,Road,Rail,Water,Air,Pipeline
2019,34354.8,4389.04,7472.25,7.53,912.61
2018,39568.71,4026.31,7026.84,7.39,898.07
2017,36868.58,3688.65,6678.46,7.06,805.76
2016,33412.59,3331.86,6382.38,6.68,734.11
2015,31500.19,3358.01,6135.67,6.29,758.7
2014,31133.34,3813.34,5982.83,5.94,737.52
2013,30766.48,3966.97,5597.85,5.61,652.09
2012,31884.75,3904.38,4587.05,5.45,622.74
2011,28201.0,3932.63,4259.68,5.57,570.73
2010,24480.52,3642.71,3789.49,5.63,499.72
2005,13417.78,2692.96,2196.48,3.07,310.37
2000,10388.13,1785.81,1223.91,1.97,187.0
1995,9403.87,1659.82,1131.94,1.01,152.74
1990,7240.4,1506.81,800.94,0.37,157.5
1985,5380.62,1307.09,633.22,0.2,136.5
1980,3820.48,1112.79,426.76,0.09,105.25
