Characteristic,Number of outlets
Edeka,2100
McDonald's,1484
Burger King,750
Subway,692
Steinecke,573
H. von Allwörden,500
Tchibo,499
Valora,495
Kamps,411
Domino's,324
Nordsee,314
Amrest,281
Yum!,259
Ihle,250
Coffee Fellows,223
Heberer,203
Junge,202
Bäcker Görtz,178
Vizenz Murr,175
Starbucks,165
Der Beck,151
dean&david,150
Janny's Eis,120
Call a Pizza,107
Marché Mövenpick,103
Backfactory,98
KochLöffel,84
Vapiano,82
Wasner,78
Freddy Fresh,72
Gustoso,66
Smiley's,63
Dunkin' Brands,60
La Luna,60
burgerme,55
Gosch,45
Pizza Max,42
