Characteristic,TV viewership in million viewers
Championship Game - Kentucky vs. Connecticut (Apr. 7),21.2
Final 4 - Kentucky vs. Wisconsin (Apr. 5),16.25
Final 4 - Connecticut vs. Florida (Apr. 5),11.65
Elite 8 - Kentucky vs. Michigan (Mar. 30),14.64
Elite 8 - Wisconsin vs. Arizona (Mar. 29),9.97
Elite 8 - Connecticut vs. Michigan St. (Mar. 30),9.8
Elite 8 - Dayton vs. Florida (Mar. 29),7.2
Sweet 16 - Kentucky vs. Louisville (Mar. 28),10.09
Sweet 16 - Tennessee vs. Michigan (Mar. 28),8.32
Sweet 16 - UCLA vs. Florida (Mar. 27),7.23
Sweet 16 - Dayton vs. Stanford (Mar. 27),7.11
Sweet 16 - Michigan St. vs. Virginia (Mar. 28),5.09
Sweet 16 - SDSU vs. Arizona (Mar. 27),3.28
Sweet 16 - Connecticut vs. Iowa St. (Mar. 28),3.11
Sweet 16 - Baylor vs. Wisconsin (Mar. 27),3.03
