Characteristic,Rate of unemployment
Nagaland,21.6%
A.& N. Islands,14.7%
Goa,13.9%
Lakshadweep,13.3%
Manipur,11.6%
Puducherry,10.4%
Kerala,10%
Haryana,9.3%
Assam,8.3%
Tamil Nadu,7.9%
Punjab,7.8%
Jharkhand,7.1%
Bihar,7%
Uttarakhand,6.9%
Odisha,6.9%
Mizoram,6.5%
Telangana,6.5%
Tripura,6.3%
Daman & Diu,6.2%
Uttar Pradesh,5.5%
Arunachal Pradesh,5.3%
Gujarat,5.2%
Himachal Pradesh,5.2%
Rajasthan,4.5%
Jammu & Kashmir,4.2%
Karnataka,3.9%
West Bengal,3.8%
Madhya Pradesh,3.6%
Andhra Pradesh,3.6%
Delhi,3.5%
Chandigarh,3.5%
Maharashtra,3.3%
Sikkim,2.7%
Chhatisgarh,2.5%
D.& N.Haveli,0.7%
Meghalaya,0.6%
