Characteristic,Average advertisement cost in million U.S. dollars
Super Bowl LV (2021),5.6
Super Bowl LIV (2020),5.6
Super Bowl LIII (2019),5.3
Super Bowl LII (2018),5.0
Super Bowl LI (2017),5.0
Super Bowl 50 (2016),5.0
Super Bowl XLIX (2015),4.5
Super Bowl XLVIII (2014),4.0
Super Bowl XLVII (2013),4.0
Super Bowl XLVI (2012),3.5
Super Bowl XLV (2011),3.0
Super Bowl XLIV (2010),2.7
Super Bowl XLIII (2009),3.1
Super Bowl XLII (2008),2.7
Super Bowl XLI (2007),2.7
Super Bowl XL (2006),2.7
Super Bowl XXXIX (2005),2.7
Super Bowl XXXVIII (2004),2.6
Super Bowl XXXVI (2002),2.3
