Characteristic,Deal value in billion U.S. dollars
Santander/Banco Popular (2017),8.22
Deutsche Bank/Deutsche Postbank (2011),7.19
CaixaBank/Banca Civica (2012),6.13
DZ Bank/WGZ Bank (2016),3.52
Bank of Cyprus/Cyprus Popular Bank (2013),3.28
BBVA/Catalunya Bank (2015),3.25
"Kutxabank/BBK, Kutxa and Vital merger (2012)",3.19
Banco Sabadell/Banco Cam (2012),3.18
Caixabank/BPI (2017),2.9
Alpha Bank/Emporiki Bank (2013),2.84
Caixabank/Banco de Valencia (2013),2.7
Banco Popular/Banco Pastor (2011),2.62
Banco de Sabadell/TSB Banking Group (2015),2.48
Caixabank/Barclays Bank Spain (2014),2.0
Sberbank/Denizbank (2012),1.93
