Product name (company),Revenue in million U.S. dollars
Prolia (Amgen),1049
Premarin (Pfizer),956
Mirena (Bayer),776
Forteo (Eli Lilly),771
NuvaRing (Merck),576
Nexplanon (Merck),420
Lo Loestrin Fe (Allergan),404
Estrace Cream (Allergan),379
Makena (AMAG Pharm.),334
Minastrin 24 FE (Allergan),326
Vagifem (Novo Nordisk),302
Lupron (AbbVie),285
Gonal-F (Merck KGaA),221
Follistim (Merck),157
Yasmin (Bayer),142
Oral contrception franchise (J&J/Pfizer),129
Natazia (Bayer),104
Minivelle (Hisamitsu),88
Caltrate (Pfizer),87
Junel/Loestrin (Teva),79
