Characteristic,GDP in million chained 2012 Canadian dollars
"Mining, quarrying, and oil and gas extraction",11957.4
Real estate and rental and leasing,2848.4
Construction,2724.7
Health care and social assistance,2342.4
Public administration,2212.1
Educational services,1622.9
Retail trade,1536.3
Finance and insurance,920.8
Transportation and warehousing,900.6
Manufacturing,882.1
"Professional, scientific and technical services",848.7
Information and cultural industries,739.1
Wholesale trade,666.7
Utilities,665.4
Accommodation and food services,533.5
Other services (except public administration),510.6
"Administrative and support, waste management and remediation services",361.8
"Agriculture, forestry, fishing and hunting",263.2
Management of companies and enterprises,86.7
"Arts, entertainment and recreation",76.5
