Characteristic,Inflation rate compared to previous year
2026*,2.97%
2025*,2.97%
2024*,2.97%
2023*,2.97%
2022*,3.05%
2021*,3.01%
2020,3.48%
2019,-0.97%
2018,4.04%
2017,-0.9%
2016,-1.63%
2015,4.83%
2014,1.68%
2013,0.22%
2012,7.52%
2011,2.03%
2010,-2.11%
2009,10.1%
2008,8.33%
2007,-7.44%
2006,9.64%
2005,4.45%
2004,-4.8%
2003,-1.75%
2002,5.19%
2001,12.43%
2000,3.82%
1999,-8.45%
1998,4.26%
1997,5.57%
1996,11.33%
1995,5.36%
1994,41.27%
1993,-10.87%
1992,-3.8%
1991,4.2%
1990,0.5%
1989,-4.9%
1988,14.9%
1987,-2.73%
1986,-13.05%
