Characteristic,Inflation rate compared to previous year
2026*,2%
2025*,2%
2024*,2%
2023*,2.04%
2022*,2.02%
2021*,2.05%
2020*,1.83%
2019,0.69%
2018,0.93%
2017,-0.22%
2016,0.86%
2015,1.79%
2014,0.19%
2013,0.18%
2012,2.64%
2011,3.56%
2010,0.21%
2009,4.07%
2008,7.69%
2007,0.43%
2006,1.08%
2005,5.3%
2004,0.68%
2003,-0.93%
2002,2.73%
2001,5.07%
2000,1.57%
1999,-0.05%
1998,0.98%
1997,5.31%
1996,4.6%
1995,15.8%
1994,35.26%
1993,-0.09%
1992,1.62%
1991,0.24%
1990,1.13%
1989,-0.95%
1988,-0.15%
1987,0.05%
1986,4.13%
